combustivel,portas,comprimento,largura,altura,cavalos,preco
0,0,168.8,64.1,48.8,111,13495
0,0,168.8,64.1,48.8,111,16500
0,0,171.2,65.5,52.4,154,16500
0,1,176.6,66.2,54.3,102,13950
0,1,176.6,66.4,54.3,115,17450
0,0,177.3,66.3,53.1,110,15250
0,1,192.7,71.4,55.7,110,17710
0,1,192.7,71.4,55.7,110,18920
0,1,192.7,71.4,55.9,140,23875
0,0,178.2,67.9,52,160,17859
0,0,176.8,64.8,54.3,101,16430
0,1,176.8,64.8,54.3,101,16925
0,0,176.8,64.8,54.3,121,20970
0,1,176.8,64.8,54.3,121,21105
0,1,189,66.9,55.7,121,24565
0,1,189,66.9,55.7,182,30760
0,0,193.8,67.9,53.7,182,41315
0,1,197,70.9,56.3,182,36880
0,0,141.1,60.3,53.2,48,5151
0,0,155.9,63.6,52,70,6295
0,1,158.8,63.6,52,70,6575
0,0,157.3,63.8,50.8,68,5572
0,0,157.3,63.8,50.8,68,6377
0,0,157.3,63.8,50.8,102,7957
0,1,157.3,63.8,50.6,68,6229
0,1,157.3,63.8,50.6,68,6692
0,1,157.3,63.8,50.6,68,7609
0,0,157.3,63.8,50.6,102,8558
0,1,174.6,64.6,59.8,88,8921
0,0,173.2,66.3,50.2,145,12964
0,0,144.6,63.9,50.8,58,6479
0,0,144.6,63.9,50.8,76,6855
0,0,150,64,52.6,60,5399
0,0,150,64,52.6,76,6529
0,0,150,64,52.6,76,7129
0,1,163.4,64,54.5,76,7295
0,1,157.1,63.9,58.3,76,7295
0,0,167.5,65.2,53.3,86,7895
0,0,167.5,65.2,53.3,86,9095
0,1,175.4,65.2,54.1,86,8845
0,1,175.4,62.5,54.1,86,10295
0,1,175.4,65.2,54.1,101,12945
0,0,169.1,66,51,100,10345
0,1,170.7,61.8,53.5,78,6785
0,0,155.9,63.6,52,70,8916.5
0,1,155.9,63.6,52,70,8916.5
0,0,172.6,65.2,51.4,90,11048
0,1,199.6,69.6,52.8,176,32250
0,1,199.6,69.6,52.8,176,35550
0,0,191.7,70.6,47.8,262,36000
0,0,159.1,64.2,54.1,68,5195
0,0,159.1,64.2,54.1,68,6095
0,0,159.1,64.2,54.1,68,6795
0,1,166.8,64.2,54.1,68,6695
0,1,166.8,64.2,54.1,68,7395
0,0,169,65.7,49.6,101,10945
0,0,169,65.7,49.6,101,11845
0,0,169,65.7,49.6,101,13645
0,0,169,65.7,49.6,135,15645
0,0,177.8,66.5,53.7,84,8845
0,1,177.8,66.5,55.5,84,8495
0,0,177.8,66.5,53.7,84,10595
0,1,177.8,66.5,55.5,84,10245
1,1,177.8,66.5,55.5,64,10795
0,1,177.8,66.5,55.5,84,11245
0,1,175,66.1,54.4,120,18280
1,1,175,66.1,54.4,72,18344
1,1,190.9,70.3,56.5,123,25552
1,1,190.9,70.3,58.7,123,28248
1,0,187.5,70.3,54.9,123,28176
1,1,202.6,71.7,56.3,123,31600
0,1,202.6,71.7,56.5,155,34184
0,0,180.3,70.5,50.8,155,35056
0,1,208.1,71.7,56.7,184,40960
0,0,199.2,72,55.4,184,45400
0,0,178.4,68,54.8,175,16503
0,0,157.3,64.4,50.8,68,5389
0,0,157.3,64.4,50.8,68,6189
0,0,157.3,64.4,50.8,68,6669
0,0,157.3,63.8,50.8,102,7689
0,0,173,65.4,49.4,116,9959
0,0,173,65.4,49.4,88,8499
0,0,173.2,66.3,50.2,145,12629
0,0,173.2,66.3,50.2,145,14869
0,0,173.2,66.3,50.2,145,14489
0,1,172.4,65.4,51.6,88,6989
0,1,172.4,65.4,51.6,88,8189
0,1,172.4,65.4,51.6,116,9279
0,1,172.4,65.4,51.6,116,9279
0,0,165.3,63.8,54.5,69,5499
1,0,165.3,63.8,54.5,55,7099
0,0,165.3,63.8,54.5,69,6649
0,1,165.3,63.8,54.5,69,6849
0,1,170.2,63.8,53.5,69,7349
0,0,165.3,63.8,54.5,69,7299
0,0,165.6,63.8,53.3,69,7799
0,1,165.3,63.8,54.5,69,7499
0,1,170.2,63.8,53.5,69,7999
0,0,162.4,63.8,53.3,69,8249
0,1,173.4,65.2,54.7,97,8949
0,1,173.4,65.2,54.7,97,9549
0,1,181.7,66.5,55.1,152,13499
0,1,184.6,66.5,56.1,152,14399
0,1,184.6,66.5,55.1,152,13499
0,0,170.7,67.9,49.7,160,17199
0,0,170.7,67.9,49.7,200,19699
0,0,178.5,67.9,49.7,160,18399
0,1,186.7,68.4,56.7,97,11900
1,1,186.7,68.4,56.7,95,13200
0,1,198.9,68.4,58.7,97,12440
1,1,198.9,68.4,58.7,95,13860
0,1,186.7,68.4,56.7,95,15580
1,1,186.7,68.4,56.7,95,16900
0,1,198.9,68.4,56.7,95,16695
1,1,198.9,68.4,58.7,95,17075
0,1,186.7,68.4,56.7,97,16630
1,1,186.7,68.4,56.7,95,17950
0,1,186.7,68.3,56,142,18150
0,0,157.3,63.8,50.8,68,5572
0,0,157.3,63.8,50.8,102,7957
0,1,157.3,63.8,50.6,68,6229
0,1,167.3,63.8,50.8,68,6692
0,1,167.3,63.8,50.8,68,7609
0,1,174.6,64.6,59.8,88,8921
0,0,173.2,66.3,50.2,145,12764
0,0,168.9,68.3,50.2,143,22018
0,0,168.9,65,51.6,207,32528
0,0,168.9,65,51.6,207,34028
0,0,168.9,65,51.6,207,37028
0,0,175.7,72.3,50.5,288,31400.5
0,1,181.5,66.5,55.2,90,9295
0,0,176.8,66.6,50.5,90,9895
0,0,186.6,66.5,56.1,110,11850
0,1,186.6,66.5,56.1,110,12170
0,0,186.6,66.5,56.1,110,15040
0,1,186.6,66.5,56.1,110,15510
0,0,186.6,66.5,56.1,160,18150
0,1,186.6,66.5,56.1,160,18620
0,0,156.9,63.4,53.7,69,5118
0,0,157.9,63.6,53.7,73,7053
0,0,157.3,63.8,55.7,73,7603
0,1,172,65.4,52.5,82,7126
0,1,172,65.4,52.5,82,7775
0,1,172,65.4,52.5,94,9960
0,1,172,65.4,54.3,82,9233
0,1,172,65.4,54.3,111,11259
0,1,173.5,65.4,53,82,7463
0,1,173.5,65.4,53,94,10198
0,1,173.6,65.4,54.9,82,8013
0,1,173.6,65.4,54.9,111,11694
0,0,158.7,63.6,54.5,62,5348
0,0,158.7,63.6,54.5,62,6338
0,1,158.7,63.6,54.5,62,6488
0,1,169.7,63.6,59.1,62,6918
0,1,169.7,63.6,59.1,62,7898
0,1,169.7,63.6,59.1,62,8778
0,1,166.3,64.4,53,70,6938
0,1,166.3,64.4,52.8,70,7198
1,1,166.3,64.4,53,56,7898
1,1,166.3,64.4,52.8,56,7788
0,1,166.3,64.4,53,70,7738
0,1,166.3,64.4,52.8,70,8358
0,1,166.3,64.4,52.8,70,9258
0,0,168.7,64,52.6,70,8058
0,0,168.7,64,52.6,70,8238
0,0,168.7,64,52.6,112,9298
0,0,168.7,64,52.6,112,9538
0,0,176.2,65.6,52,116,8449
0,0,176.2,65.6,52,116,9639
0,0,176.2,65.6,52,116,9989
0,0,176.2,65.6,52,116,11199
0,0,176.2,65.6,52,116,11549
0,0,176.2,65.6,53,116,17669
0,1,175.6,66.5,54.9,92,8948
1,1,175.6,66.5,54.9,73,10698
0,1,175.6,66.5,53.9,92,9988
0,1,175.6,66.5,54.9,92,10898
0,1,175.6,66.5,53.9,92,11248
0,0,183.5,67.7,52,161,16558
0,0,183.5,67.7,52,161,15998
0,1,187.8,66.5,54.1,156,15690
0,1,187.8,66.5,54.1,156,15750
1,0,171.7,65.5,55.7,52,7775
0,0,171.7,65.5,55.7,85,7975
1,1,171.7,65.5,55.7,52,7995
0,1,171.7,65.5,55.7,85,8195
0,1,171.7,65.5,55.7,85,8495
1,1,171.7,65.5,55.7,68,9495
0,1,171.7,65.5,55.7,100,9995
0,0,159.3,64.2,55.6,90,11595
0,0,165.7,64,51.4,90,9980
0,1,180.2,66.9,55.1,110,13295
1,1,180.2,66.9,55.1,68,13845
0,1,183.1,66.9,55.1,88,12290
0,1,188.8,67.2,56.2,114,12940
0,1,188.8,67.2,57.5,114,13415
0,1,188.8,67.2,56.2,114,15985
0,1,188.8,67.2,57.5,114,16515
0,1,188.8,67.2,56.2,162,18420
0,1,188.8,67.2,57.5,162,18950
0,1,188.8,68.9,55.5,114,16845
0,1,188.8,68.8,55.5,160,19045
0,1,188.8,68.9,55.5,134,21485
1,1,188.8,68.9,55.5,106,22470
0,1,188.8,68.9,55.5,114,22625